;;;;;;;;;30.045
Part;Value;Device;Package;Description;MOUSER;MP;MPN;PRICE;PU
C1;1uF;C-EUC1812K;C1812K;CAPACITOR, European symbol;810-CGA8P3X7T2E105MA;;;;1.07
C2;1uF;C-EUC1812K;C1812K;CAPACITOR, European symbol;810-CGA8P3X7T2E105MA;;;;1.07
C3;0.1uF;C-EUC1808;C1808;CAPACITOR, European symbol;581-1808PC104KAT1A;;;;0.88
C5;220pF;C-EUC0402;C0402;CAPACITOR, European symbol;963-LMK042B7221KC-W;;;;
C6;100pF;C-EUC0805;C0805;CAPACITOR, European symbol;81-GCM21A5C2E101JX1D;;;;0.319
C7;430pF;C-EUC0805;C0805;CAPACITOR, European symbol;581-08055A431JAT4A;;;;0.23
C8;100uF ;C-EUC1210;C1210;CAPACITOR, European symbol;963-EMK325ABJ107MM-P;;;;
C10;100nF;C-EUC0805;C0805;CAPACITOR, European symbol;963-EMF212B7104KGHT;;;;0.23
C11;1nF;C-EUC0805;C0805;CAPACITOR, European symbol;80-C0805C182G4HACTU;;;;0.122
C12;0.1uF;C-EUC1808;C1808;CAPACITOR, European symbol;581-1808PC104KAT1A;;;;0.88
C14;47uF;C-EUC1210;C1210;CAPACITOR, European symbol;963-EMK325BJ476MM-P;;;;
C15;560pF/250V;C-EUC0603;C0603;CAPACITOR, European symbol;80-C0603C561JAG;;;;0.038
C16;100uF;C-EUC1210;C1210;CAPACITOR, European symbol;963-EMK325ABJ107MM-P;;;;
C18;0.1uF;C-EUC0402;C0402;CAPACITOR, European symbol;963-LMF105B7104KVHF;;;;0.676
C20;0.1uF;CAP0805-NP;CAP0805-NP;;;;;;
C21;0.33F;AHG-35/100-RADIAL;ELNA21.5X8.0;AUDYNÂ® - AHG Gepolt, radial;555-DBN-5R5D334T;;;;2.46
C22;100n;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;
C23;100nF;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;
C24;100nF;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;
C25;100nF;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;
D1;ES1D;ES2D;SMB;DIODE;512-ES1DF;;;;
D2;BAT54;SP4020-01FTG;SOD323;SP4020 Series 2.5pF, 30A Discrete TVS Diode;621-BAT54WS-F;;SP4020-01FTG;;
D40;CGRM4001-G;CGRM4001-G;SOD-123_MINI-SMA;Molded plasitc,JEDEC SOD-123/Mini SMA;863-NSR0320MW2T1G;;;;0.22
EXOS;PTR1TP09R;PTR1TP09R;TP09R;TEST PIN;;;;;
FUS1;;R-EU_R6332;R6332;RESISTOR, European symbol;530-0ZCG0150AF2C;;;;0.2
H1;MOUNT-HOLE2.8;MOUNT-HOLE2.8;2,8;MOUNTING HOLE with drill center marker;;;;;
H2;MOUNT-HOLE2.8;MOUNT-HOLE2.8;2,8;MOUNTING HOLE with drill center marker;;;;;
H3;MOUNT-HOLE2.8;MOUNT-HOLE2.8;2,8;MOUNTING HOLE with drill center marker;;;;;
H4;MOUNT-HOLE2.8;MOUNT-HOLE2.8;2,8;MOUNTING HOLE with drill center marker;;;;;
H5;MOUNT-HOLE2.8;MOUNT-HOLE2.8;2,8;MOUNTING HOLE with drill center marker;;;;;
H6;MOUNT-HOLE2.8;MOUNT-HOLE2.8;2,8;MOUNTING HOLE with drill center marker;;;;;
HT;PTR1TP09R;PTR1TP09R;TP09R;TEST PIN;;;;;
IC2;DS3231/SO;DS3231/SO;SO16W;;700-DS3231SN#;DS3231;;None;9.5
IC3;REG1117;REG1117;SOT223;800mA and 1A Low Dropout (LDO) Positive Regulator;;;REG1117;;
IC4;ATMEGA328;ATMEGA168-20AU;QFP032;;;;;;1.4
IC6;UCC3803DTR;UCC3803DTR;SOIC127P600X175-8N;Switching Controllers Low-Power BiCMOS Current-Mode PWM;595-UCC3803D;;;;3.05
IC7;FDS2672;FDS2672;SOIC127P600X175-8N;FDS2672, N-channel MOSFET Transistor 3.9 A 200 V, 8-Pin SOIC;512-FDS2672;;;;1.54
J2;6.29105E+11;6.29105E+11;6.29105E+11;WR-COM Micro USB 2.0 Type AB Horizontal;710-629105150921;;;;1.9
L2;60 Ohms @ 100MHz;L-EUL2012C;L2012C;INDUCTOR, European symbol;963-BKP2125HS600-T;;;;
L3;33uH;MSS7341;MSS7341;Shielded Power Inductors;710-784770330;;;;2.55
L5;Ferrite;L-EUL2012C;L2012C;INDUCTOR, European symbol;963-BKP2125HS600-T;;;;
LED1;SML-A15YTT86;SML-A15YTT86;SMLA15YTT86;Yellow 590nm LED Indication - Discrete 2.1V 2-SMD, No Lead;755-SML-A15YTT86;;;;0.25
PGM;20021321-00010C4LF;20021321-00010C4LF;2002132100010C4LF;Headers & Wire Housings 1.27x1.27mm BTB, Hdr Recept, SMT, 10 Pos;;;;;
PWM;PTR1TP09R;PTR1TP09R;TP09R;TEST PIN;;;;;
R1;100k;R-US_R0805;R0805;RESISTOR, American symbol;;;;;
R2;60k4;R-EU_R0805;R0805;RESISTOR, European symbol;603-RT0805FRE0760K4L;;;;0.11
R3;;R-EU_0204/2V;0204V;RESISTOR, European symbol;;;;;
R4;100k;R-US_R0805;R0805;RESISTOR, American symbol;;;;;
R5;15k;R-US_M2012;M2012;RESISTOR, American symbol;;;;;
R6;1k;R-US_M2012;M2012;RESISTOR, American symbol;;;;;
R7;2k;R-EU_R0805;R0805;RESISTOR, European symbol;754-RR1220P-202D;;;;
R8;1k;R-EU_R0805;R0805;RESISTOR, European symbol;;;;;
R9;100k;R-EU_R0805;R0805;RESISTOR, European symbol;;;;;
R10;0R2;R-US_R2010;R2010;RESISTOR, American symbol;603-PE2010FKE070R1L;;;;0.7
R12;4.12k;R-EU_R0805;R0805;RESISTOR, European symbol;660-RN732ATD4121F100;;;;
R14;1k;R-US_M2012;M2012;RESISTOR, American symbol;;;;;
R15;634k;R-EU_R0805;R0805;RESISTOR, European symbol;71-CRCW0603-634K-E3;;;;
R16;7.68k;R-EU_R0805;R0805;RESISTOR, European symbol;71-CRCW0805-7.68K-E3;;;;0.09
R20;47k;R-US_R0805;R0805;RESISTOR, American symbol;;;;;
R21;100k;R-US_R0805;R0805;RESISTOR, American symbol;;;;;
R22;1k;R-US_M2012;M2012;RESISTOR, American symbol;;;;;
R25;1k;R-US_M2012;M2012;RESISTOR, American symbol;;;;;
R26;1k;R-US_M2012;M2012;RESISTOR, American symbol;;;;;
R27;1k;R-US_M2012;M2012;RESISTOR, American symbol;;;;;
R28;1k;R-US_M2012;M2012;RESISTOR, American symbol;;;;;
SG3;F/CM12P;F/CM12P;F/CM12P;BUZZER Source: Buerklin;;;;;
SV1;Support;MA08-1;MA08-1;PIN HEADER;;;;;
SV2;;MA04-1;MA04-1;PIN HEADER;;;;;
SV3;;MA04-1;MA04-1;PIN HEADER;;;;;
SV4;;MA03-1;MA03-1;PIN HEADER;;;;;
T1;MMBTA42;BC846;SOT23;NPN TRANSISTOR;;;;;
T2;MMBTA42;BC846;SOT23;NPN TRANSISTOR;;;;;
T3;MMBTA42;BC846;SOT23;NPN TRANSISTOR;;;;;
T4;BSS123;BSS123;SOT23;N-CHANNEL MOS FET;726-BSS123NH6433;;;;0.37
TUBES;;MA07-1;MA07-1;PIN HEADER;;;;;
U$5;D-VERTSW;D-VERTSW;FP-VERTSW;;612-TL6190BUTTON;;;;0.19
